es,fr,Alignment Score
paz,paix,0.33333333333333337
no,non,0.06666666666666676
hiel,fiel,0.2333333333333334
cielo,ciel,0.033333333333333326
ser,etre,0.3555555555555556
vil,vil,0.0
bajo,sous,0.6500000000000001
malo,mauvais,0.4833333333333334
para ver,voir,0.5166666666666666
madre,mere,0.25
tener,avoir,0.6666666666666667
ego,ego,0.0
bien,bien,0.0
pero,mais,0.8333333333333334
sol,soleil,0.08888888888888902
bien,bien,0.0
venir,venir,0.0
ir,aller,0.5666666666666667
ellos son,ils sont,0.2416666666666667
dar,donner,0.37777777777777777
ahora,maintenant,0.6
que,quoi,0.33333333333333337
fue,c'etait,0.6888888888888889
enlace,lien,0.4666666666666667
luz,lumiere,0.4
a nosotros,nous,0.35
acusado,defendeur,0.7333333333333334
con,avec,0.6000000000000001
su,ton,0.9
semejante,tel,0.44444444444444453
el era,il etait,0.34444444444444455
role,role,0.0
a mi,moi,0.33333333333333337
uno,un,0.06666666666666676
luna,lune,0.2333333333333334
hasta,jusqu'a,0.56
mmm,hmm,0.3111111111111112
por,par,0.3111111111111112
vis,vis,0.0
fin,fin,0.0
correo,poste,0.56
dolor,douleur,0.2266666666666668
acto,acte,0.2333333333333334
sol,soleil,0.08888888888888902
sin,sans,0.3555555555555556
padre,pere,0.25
doblar,tourner,0.5888888888888889
dia,jour,0.8666666666666667
doy,je donne,0.4444444444444444
voluntad,volonte,0.2761904761904762
pro,pro,0.0
mirad,voir,0.4666666666666667
camino,route,0.6933333333333334
tez,complexion,0.7777777777777778
leer,lire,0.43333333333333335
oda,ode,0.3111111111111111
entonces,donc,0.31666666666666676
ni,ni,0.0
hice,je l'ai fait,0.7833333333333333
acto,acte,0.2333333333333334
voz,voix,0.33333333333333337
homosexuales,gay,0.8222222222222223
mi,mon,0.5
ley,loi,0.5777777777777777
vuelo,vol,0.3555555555555555
malo,mauvais,0.4833333333333334
mano,main,0.2333333333333334
en uno,sur une,0.4555555555555556
dar,donner,0.37777777777777777
ajetreo,agitation,0.5238095238095238
par,paire,0.08888888888888902
para,pour,0.45000000000000007
rio,riviere,0.4
por eso,ainsi,0.72
hola,bonjour,0.7166666666666668
cia,cia,0.0
jus,jus,0.0
hogar,maison,0.7066666666666668
su,ton,0.9
el hizo,il a fait,0.5333333333333333
voluntad,volonte,0.2761904761904762
a traves de,via,0.7555555555555555
sonido,son,0.08888888888888902
barco,bateau,0.52
si,oui,0.5
amo,j'aime,0.42222222222222217
rey,roi,0.5777777777777777
el tiene,il a,0.5333333333333334
bien,bien,0.0
pero,mais,0.8333333333333334
usar,utiliser,0.31666666666666676
mes,mois,0.33333333333333337
desaparecido,disparu,0.32380952380952377
mentiras,mensonges,0.42500000000000016
ala,aile,0.3555555555555556
alguno,quelques,0.6222222222222222
a el,lui,0.6000000000000001
eco,echo,0.04444444444444451
camarada,copain,0.5888888888888888
clan,clan,0.0
amar,amour,0.25
hecho,fait,0.85
mito,mythe,0.4833333333333334
inclinacion,biais,0.4666666666666667
tu,toi,0.5
como,comme,0.25
caos,chaos,0.033333333333333326
al azar,au hasard,0.3047619047619048
estilo,panache,0.7
ver,voir,0.33333333333333337
accion,action,0.15555555555555556
sed,la soif,0.6888888888888889
despues,apres,0.4
entonces,alors,0.5733333333333334
vida,vie,0.33333333333333337
casa,maison,0.5166666666666666
cima,culminer,0.5166666666666666
saga,saga,0.0
miedo,peur,0.6833333333333333
ano,anus,0.33333333333333337
desierto,region sauvage,0.6000000000000001
suma,somme,0.4833333333333333
abuela,grand-mere,0.6222222222222222
lema,devise,0.6833333333333333
mas alla de,au-dela,0.5333333333333334
tonto,idiot,0.5333333333333333
destino,destin,0.022222222222222143
idem,idem,0.0
urgente,urgent,0.022222222222222143
creer,croire,0.36
para el,pour le,0.39047619047619053
adaptar,ajuster,0.49523809523809526
celo,zele,0.4666666666666667
el vino,il est venu,0.4476190476190477
pude,je pourrais,0.5833333333333333
todo,tous,0.43333333333333335
mas,plus,0.6000000000000001
malo,mauvais,0.4833333333333334
area,zone,0.6499999999999999
amar,amour,0.25
brusco,grossier,0.6000000000000001
aburrido,boiteux,0.6095238095238096
cuota,quota,0.18666666666666676
para,pour,0.45000000000000007
sonido,son,0.08888888888888902
tierra,atterrir,0.33333333333333337
sera,ce sera,0.06666666666666676
fase,phase,0.25
ser,etre,0.3555555555555556
ser,soi,0.5777777777777777
detras,derriere,0.4555555555555556
dulce,doux,0.4666666666666667
moda,vogue,0.6833333333333333
pronto,bientot,0.4444444444444444
donde,ou,0.6000000000000001
escarcha,rime,0.7
dios,dieu,0.43333333333333335
para el,pour le,0.39047619047619053
antes,avant,0.34666666666666657
temprano,tot,0.42222222222222217
yugo,joug,0.45000000000000007
bastante,assez,0.41333333333333344
arte,art,0.04444444444444451
alma,ame,0.3555555555555556
meta,but,0.6222222222222222
cuyo,dont,0.6500000000000001
sillin,selle,0.3866666666666667
trae,apporte,0.4833333333333333
en,dans,0.5666666666666667
celula,cellule,0.1777777777777778
contenido,contenu,0.1523809523809524
estado,a ete,0.5466666666666666
noya,noia,0.2333333333333334
rostro,affronter,0.3555555555555556
asco,degouter,0.7166666666666667
asco,degouter,0.7166666666666667
objetivo,cible,0.5866666666666667
enfocar,se concentrer,0.4476190476190477
eso,que,0.5777777777777777
pose,pose,0.0
salir,sortir,0.36
base,base,0.0
de acuerdo,d'accord,0.3583333333333334
odiar,detester,0.56
acto,acte,0.2333333333333334
el tuvo,il avait,0.5047619047619049
alto,haut,0.4666666666666667
todo,tous,0.43333333333333335
ocio,loisirs,0.5166666666666666
rito,rite,0.2333333333333334
dios mio,ouais,0.56
voluntad,volonte,0.2761904761904762
nuevo,nouveau,0.40000000000000013
agil,agile,0.033333333333333326
amanecer,aube,0.5166666666666666
tesis,these,0.36
alto,haut,0.4666666666666667
bulto,renflement,0.6
nexo,lien,0.6333333333333333
costa,rive,0.85
sagaz,sagace,0.19999999999999996
centro,coeur,0.3866666666666667
negro,noir,0.45000000000000007
termino,terme,0.21333333333333337
exito,succes,0.6933333333333334
mezclar,melanger,0.2571428571428571
noble,noble,0.0
sentido,sens,0.28333333333333355
afecto,affection,0.06666666666666687
verdugo,bourreau,0.6285714285714286
etica,ethique,0.3866666666666667
lleno,complet,0.56
mutual,mutuel,0.15555555555555556
tenue,tenu,0.033333333333333326
hacer,faire,0.5466666666666666
asi,comme ca,0.6888888888888889
sutil,subtil,0.026666666666666727
fuerza,forcer,0.43333333333333335
aqui,ici,0.6000000000000001
sin embargo,cependant,0.6814814814814816
seccion,section,0.13333333333333341
eran,etaient,0.31666666666666676
sanar,guerir,0.6799999999999999
fuerza,pouvoir,0.6000000000000001
atrevido,audacieux,0.6416666666666666
idea,idee,0.2333333333333334
centro,coeur,0.3866666666666667
innato,inne,0.2666666666666667
moral,morale,0.026666666666666727
acerca de,a propos,0.6333333333333333
desde,depuis,0.3600000000000001
muy,tres,0.8666666666666667
justo,equitable,0.6133333333333333
honor,honneur,0.21333333333333337
tal vez,peut-etre,0.6285714285714286
torpe,maladroit,0.72
sueno,reve,0.6666666666666667
razon,raison,0.19999999999999996
futil,futile,0.026666666666666727
etnicidad,appartenance ethnique,0.562962962962963
icono,icone,0.18666666666666676
adjunto,piece jointe,0.5619047619047619
amigo,ami,0.06666666666666687
egida,egide,0.18666666666666676
tange,tanger,0.026666666666666727
lapso,laps,0.033333333333333326
haber,etre,0.4666666666666667
exponer,exposer,0.13333333333333341
mutual,mutuel,0.15555555555555556
dengo,dengo,0.0
tiempo,temps,0.21333333333333337
pareja,couple,0.5777777777777777
entonces,alors,0.5733333333333334
habil,habile,0.026666666666666727
cosecha,recolte,0.49523809523809526
bocal,bocal,0.0
ardid,ruse,0.6666666666666667
en vivo,en direct,0.40000000000000013
pesar,peser,0.18666666666666676
saber,savoir,0.36
causa,cause,0.18666666666666676
gracia,la grace,0.3222222222222223
decir,dire,0.25
genero,genre,0.19999999999999996
obstaculo,obstacle,0.13333333333333341
posesion,possession,0.033333333333333326
coser,coudre,0.3733333333333334
paria,paria,0.0
deber,devoir,0.36
gritar,crier,0.3866666666666667
tenaz,tenace,0.19999999999999996
descendencia,progeniture,0.6181818181818182
tamiz,tamis,0.18666666666666676
ser,etre,0.3555555555555556
buho,hibou,0.4666666666666667
comun,commun,0.026666666666666727
miedo,peur,0.6833333333333333
sostiene,tient,0.2400000000000001
todavia,encore,0.7222222222222222
alegria,acclamation,0.523809523809524
apendice,sommet,0.7222222222222223
afan,ardeur,0.6666666666666667
ceda el paso,laisser passer,0.4555555555555556
ser,etre,0.3555555555555556
valioso,digne,0.72
cronograma,calendrier,0.5866666666666667
bonito,joli,0.5166666666666668
xibiu,xibiu,0.0
culto,culte,0.18666666666666676
mundo,monde,0.3733333333333334
atroz,atroce,0.19999999999999996
fugaz,fugace,0.19999999999999996
censo,recensement,0.28
tierra,atterrir,0.33333333333333337
fuerte,fort,0.2833333333333333
adiccion,dependance,0.6416666666666666
alias,alias,0.0
hornear,cuire,0.56
valer,valeur,0.026666666666666727
denso,dense,0.18666666666666676
excepto,sauf,0.8833333333333334
cinico,cynique,0.4555555555555556
adecuado,approprie,0.6333333333333333
alcance,portee,0.7
not(c)miembro,pas(c)membre,0.30000000000000004
naturaleza,nature,0.06666666666666665
senor,monsieur,0.41333333333333333
camino,chemin,0.30000000000000004
apogeo,apogee,0.15555555555555556
inofensivo,inoffensif,0.17999999999999994
trajes,costumes,0.4555555555555555
utopia,utopie,0.15555555555555556
sadico,sadique,0.30000000000000016
alcance,portee,0.7
enfasis,accent,0.5777777777777777
estupido,idiot,0.4
casual,occasionnel,0.3555555555555556
merito,merite,0.15555555555555556
alusion,allusion,0.01904761904761898
hostil,hostile,0.022222222222222143
desear,souhait,0.6000000000000001
esceptico,sceptique,0.28888888888888875
legado,heritage,0.6111111111111112
derecho,droit,0.3866666666666667
apurarse,depechez-vous,0.5833333333333333
amable,doux,0.8666666666666667
extraterrestre,extraterrestre,0.0
danino,nocif,0.52
infame,infame,0.0
cliche,cliche,0.0
pasion,passion,0.022222222222222143
excelente,excellent,0.10370370370370374
afable,affable,0.022222222222222143
definir,definir,0.0
adorno,ornement,0.4555555555555556
regalo,cadeau,0.5888888888888889
extasis,extase,0.16666666666666663
sobrio,sobre,0.19999999999999996
afiliacion,adhesion,0.43333333333333335
bocadillos,grignotines,0.6
evaluar,evaluer,0.13333333333333341
astuto,ruse,0.7
tambien,aussi,0.56
ventosa,ventouse,0.1523809523809525
sesion,session,0.022222222222222143
limite,seuil,0.6799999999999999
solemne,solennel,0.1523809523809525
juzgar,juger,0.21333333333333337
gloria,gloire,0.30000000000000016
labaro,labaro,0.0
formal,officiel,0.5888888888888889
habito,habitude,0.1777777777777777
apreciacion,appreciation,0.09696969696969704
a pesar de,bien que,0.5666666666666667
oportunidad,opportunite,0.23636363636363633
impulso,elan,0.7166666666666668
alguien mas,quelqu'un d'autre,0.5212121212121212
eficaz,efficace,0.18888888888888888
inactivo,inactif,0.1428571428571429
jubilo,jubilation,0.06666666666666665
disponer,disposer,0.1166666666666667
difuso,diffuser,0.18888888888888888
aliento,haleine,0.38095238095238104
hojas perennes,a feuilles persistantes,0.35238095238095235
matiz,nuancer,0.72
faccion,faction,0.13333333333333341
disculpar,excuse,0.6111111111111112
exilio,exile,0.19999999999999996
asignacion,affectation,0.42666666666666664
jugueton,espiegle,0.6416666666666666
abstenerse,abstention,0.33333333333333326
inferencia,inference,0.11111111111111116
jurisdiccion,juridiction,0.09696969696969704
objeto,objet,0.026666666666666727
acceso,acceder,0.30000000000000016
acento,accent,0.15555555555555556
deseo,desir,0.3466666666666668
axioma,axiome,0.15555555555555556
sancion,sanction,0.01904761904761898
gratis,gratuit,0.1777777777777778
tacito,tacite,0.15555555555555556
etereo,ethere,0.15555555555555556
buscar,recherche,0.6222222222222222
mujer,femme,0.52
cortes,courtois,0.188888888888889
codicia,avidite,0.6095238095238096
enfermedad,maladie,0.5238095238095238
grave,serieux,0.5733333333333334
promesa,gage,0.7
eximir,exempter,0.33333333333333337
codicia,avidite,0.6095238095238096
miedo,peur,0.6833333333333333
vulgar,vulgaire,0.04444444444444451
remoto,telecommande,0.6333333333333333
placer,plaisir,0.30000000000000016
factual,factuel,0.13333333333333341
cuando,quand,0.21333333333333337
alguna vez,jamais,0.6333333333333333
no me des,ne me donne pas,0.16296296296296287
limpieza,proprete,0.6333333333333333
empatia,empathie,0.1523809523809525
aurelio,aurelio,0.0
conyuge,conjoint,0.4857142857142859
estafa,arnaque,0.5888888888888889
excepcion,exception,0.10370370370370374
personaje,personnage,0.11851851851851858
efimero,ephemere,0.39047619047619053
prolijo,verbeux,0.7238095238095238
entrada,entree,0.30000000000000016
idilico,idyllique,0.40000000000000013
termino analogo,analogue,0.2833333333333333
genuino,authentique,0.5428571428571429
historia,histoire,0.22499999999999998
sublime,sublime,0.0
familia,famille,0.24761904761904763
condolencias,condoleances,0.1499999999999999
inferir,deduire,0.5047619047619047
apatico,apathique,0.2761904761904761
sucinto,succinct,0.1523809523809525
significado,signification,0.10303030303030292
para redimir,de racheter,0.5393939393939394
astuto,ruse,0.7
prodigo,prodigue,0.1428571428571429
cultura,culture,0.13333333333333341
audacia,audace,0.16666666666666663
estigma,stigmate,0.1428571428571429
receso,recreation,0.22222222222222232
virtud,vertu,0.21333333333333337
refutar,refuter,0.13333333333333341
iconico,iconique,0.2571428571428571
magnifico,superbe,0.8380952380952381
cinismo,cynisme,0.2666666666666667
estable,ecurie,0.5666666666666667
urgir,exhorter,0.5733333333333334
morbido,morbide,0.13333333333333341
trivial,banal,0.5333333333333333
mitigar,attenuer,0.6
sintesis,la synthese,0.375
aspecto,aspect,0.022222222222222143
lujuria,luxure,0.3222222222222223
amigable,amical,0.20000000000000007
exito,succes,0.6933333333333334
felicidad,bonheur,0.7428571428571429
imputar,imputer,0.13333333333333341
escoria,ecume,0.5466666666666667
surgir,emerger,0.4555555555555555
anatema,anatheme,0.1523809523809525
ademas,en outre,0.7222222222222222
candor,candeur,0.16666666666666663
libertinaje,debauche,0.5666666666666667
orgullo,fierte,0.7222222222222222
extracto,extrait,0.1523809523809525
litigio,litige,0.16666666666666663
ansiar,mourir d'envie,0.6666666666666667
a traves de,a travers,0.11851851851851847
sin embargo,cependant,0.6814814814814816
frivolo,frivole,0.13333333333333341
coraje,courage,0.1777777777777778
anhelo,desir,0.7066666666666668
nativo,indigene,0.6111111111111112
apodo,surnom,0.6933333333333334
ambiguo,ambigue,0.13333333333333341
sano,sain,0.2333333333333334
austero,austere,0.13333333333333341
escroto,scrotum,0.2571428571428571
amistad,amitie,0.3111111111111112
sensitivo,sensible,0.32499999999999984
quimera,chimere,0.38095238095238093
ambicion,ambition,0.1166666666666667
exceso,exces,0.026666666666666727
racismo,racisme,0.13333333333333341
relacion,relation,0.1166666666666667
promocion,promotion,0.10370370370370374
erudito,erudit,0.022222222222222143
inmersion,immersion,0.10370370370370374
modesto,modeste,0.13333333333333341
parcial,partiel,0.2666666666666667
coloso,colosse,0.16666666666666663
demanda,demande,0.13333333333333341
exotico,exotique,0.2571428571428571
conciso,concis,0.022222222222222143
ciencia,science,0.2571428571428571
piedad,piete,0.36
volatil,volatil,0.0
notorio,celebre,0.7238095238095238
extrano,bizarre,0.7047619047619048
exencion,exemption,0.2250000000000001
actual,actuel,0.15555555555555556
sufrir,souffrir,0.04444444444444451
hibrido,hybride,0.2666666666666667
ganar,gagner,0.21333333333333337
intenso,intense,0.13333333333333341
inercia,inertie,0.2666666666666667
emocional,emotionnel,0.2148148148148148
ansioso,anxieux,0.49523809523809526
despota,despote,0.13333333333333341
sentido,sens,0.28333333333333355
claro,clair,0.18666666666666676
profano,profane,0.13333333333333341
difusion,la diffusion,0.04999999999999993
inherente,inherent,0.016666666666666607
respeto,respect,0.13333333333333341
peculiar,particulier,0.2583333333333334
denigrar,denigrer,0.1166666666666667
genocida,genocidaire,0.033333333333333215
consentir,consentement,0.21481481481481468
diferido,differe,0.2666666666666666
equidad,equite,0.30000000000000016
prudente,prudent,0.01904761904761898
pandemia,pandemie,0.1166666666666667
inminente,imminent,0.13333333333333341
esencia,essence,0.2571428571428571
misogino,misogyne,0.2333333333333334
desgracia,disgrace,0.2416666666666667
invasor,envahissant,0.4285714285714287
alienado,aliene,0.1777777777777777
eminente,eminent,0.01904761904761898
abstracto,abstrait,0.13333333333333341
premisa,premisse,0.1428571428571429
extension,extension,0.0
empirico,empirique,0.22499999999999998
concepto,concept,0.01904761904761898
talarico,talarique,0.22499999999999998
astuto,ruse,0.7
elevar,augmenter,0.47777777777777786
chica,fille,0.6933333333333334
reiterar,reiterer,0.1166666666666667
lujuria,luxure,0.3222222222222223
ensueno,reve,0.5166666666666666
relativo,relatif,0.1428571428571429
prodigio,prodige,0.1428571428571429
pasable,passable,0.01904761904761898
reparar,reparation,0.16190476190476188
gratitud,gratitude,0.016666666666666607
analogia,analogie,0.1166666666666667
insercion,insertion,0.10370370370370374
modestia,modestie,0.1166666666666667
disculpa,excuses,0.6190476190476191
activista,activiste,0.10370370370370374
remision,remise,0.1777777777777777
inhospito,inhospitalier,0.1333333333333333
por lo tanto,donc,0.6166666666666667
mediocre,mediocre,0.0
monotono,monotone,0.1166666666666667
despecho,depit,0.40000000000000013
fomentar,fomenter,0.1166666666666667
inefable,ineffable,0.016666666666666607
apoyo,soutien,0.7066666666666668
retorica,rhetorique,0.24166666666666659
preocupaciones,preoccupations,0.13333333333333341
base,fondation,0.75
sinonimo,synonyme,0.3500000000000001
proceder,proceder,0.0
metodico,methodique,0.24166666666666659
primacia,primaute,0.31666666666666654
perfidia,perfidie,0.1166666666666667
rechazar,rejeter,0.48571428571428565
historia,histoire,0.22499999999999998
por lo tanto,donc,0.6166666666666667
demagogo,demagogue,0.125
complejo,complexe,0.21666666666666667
consiste,il consiste,0.033333333333333326
criterio,critere,0.1428571428571429
notivago,notivago,0.0
distinto,distinct,0.1166666666666667
espectro,spectre,0.1523809523809525
sucumbir,succomber,0.2416666666666667
desinteresado,desinteresse,0.1499999999999999
amalgama,amalgame,0.1166666666666667
resultado,resultat,0.125
singular,singulier,0.125
despertar,susciter,0.5416666666666667
paradoja,paradoxe,0.21666666666666667
mofa,moquerie,0.5
contexto,contexte,0.1166666666666667
proceso,processus,0.1523809523809524
elegible,admissible,0.43333333333333335
comunion,communion,0.016666666666666607
palabra,mot,0.9333333333333333
meta,but,0.6222222222222222
reflejar,refleter,0.21666666666666667
valiente,intrepide,0.43333333333333346
maestria,la maitrise,0.3666666666666667
sin embargo,neanmoins,0.49629629629629635
endemico,endemique,0.22499999999999998
diseno,conception,0.6222222222222222
legal,legal,0.0
problema,probleme,0.1166666666666667
util,utile,0.033333333333333326
instigar,susciter,0.5333333333333334
increible,incroyable,0.20000000000000007
epifania,epiphanie,0.2416666666666667
redencion,rachat,0.6111111111111112
a traves de,a travers,0.11851851851851847
paralelo,parallele,0.13333333333333341
insipido,insipide,0.1166666666666667
resuelto,resolu,0.3111111111111112
inmanente,immanent,0.13333333333333341
generico,generique,0.22499999999999998
cordura,sante mentale,0.7714285714285714
perspicaz,perspicace,0.11111111111111116
reciproco,reciproque,0.19999999999999996
concesion,concession,0.014814814814814725
impresion,impression,0.014814814814814725
escrupulo,scrupule,0.13333333333333341
superfluo,superflu,0.016666666666666607
rectificar,rectifier,0.11111111111111116
paradigma,paradigme,0.10370370370370374
dicotomia,dichotomie,0.11851851851851858
objetivo,but,0.4666666666666667
presuncion,presomption,0.26
diseno,conception,0.6222222222222222
hipocrita,hypocrite,0.20740740740740748
ratificar,ratifier,0.125
implicito,implicite,0.10370370370370374
plenitud,plenitude,0.016666666666666607
basico,essentiel,0.6222222222222222
hegemonia,hegemonie,0.10370370370370374
corolario,corollaire,0.2148148148148148
incidente,incident,0.016666666666666607
extrano,etrange,0.2571428571428571
altruismo,altruisme,0.10370370370370374
vagabundo,clochard,0.6499999999999999
altruista,altruiste,0.10370370370370374
hermetico,hermetique,0.19999999999999996
aleatorio,aleatoire,0.19999999999999996
esperanza,espoir,0.3333333333333335
promiscuo,promiscuite,0.11851851851851847
persuadir,persuader,0.10370370370370374
confianza,confiance,0.19259259259259254
adrede,volontaire,0.48888888888888893
sapiencia,sapience,0.125
indeleble,indelebile,0.014814814814814725
tambien,aussi,0.56
insignificante,petit,0.64
diligente,diligent,0.016666666666666607
impetuoso,impetueux,0.28148148148148144
descripcion,description,0.08484848484848484
alegrarse,rejouir,0.6190476190476191
renunciar,resigne,0.5047619047619049
inusual,inhabituel,0.40000000000000013
eminencia,eminence,0.125
compasion,compassion,0.014814814814814725
prudencia,prudence,0.125
pretension,pretention,0.09333333333333338
discrecion,discretion,0.09333333333333338
analitico,analytique,0.3037037037037037
explicito,explicite,0.10370370370370374
comun,ordinaire,0.5866666666666667
percepcion,perception,0.09333333333333338
factible,realisable,0.3583333333333334
nostalgia,nostalgie,0.10370370370370374
subjetivo,subjectif,0.19999999999999996
autonomia,autonomie,0.10370370370370374
autoctono,autochtone,0.11851851851851858
resolucion,resolution,0.09333333333333338
compania,entreprise,0.6583333333333334
desden,mepris,0.5777777777777777
confiable,digne de confiance,0.2666666666666666
disension,dissension,0.014814814814814725
expresion,expression,0.014814814814814725
constante,constante,0.0
supresion,suppression,0.029629629629629672
taciturno,taciturne,0.10370370370370374
imparcial,impartial,0.10370370370370374
autentico,authentique,0.21481481481481468
paciencia,patience,0.2416666666666667
ignorante,ignorant,0.016666666666666607
arrogante,arrogant,0.016666666666666607
execrable,execrable,0.0
de lo contrario,sinon,0.6533333333333333
discurso,discours,0.1166666666666667
restriccion,restriction,0.08484848484848484
degradante,humiliant,0.562962962962963
