pt,en,es,fr,it,gl,ro
integralmente,fully,completamente,pleinement,completamente,plenamente,complet
faccao,faction,faccion,faction,fazione,faccion,factiune
aplicabilidade,applicability,aplicabilidad,applicabilite,applicabilita,aplicabilidade,aplicabilitate
lar,home,hogar,maison,casa,casa,acasa
sim,yes,si,oui,si,si,da
historia,history,historia,histoire,storia,historia,istorie
som,sound,sonido,son,suono,son,sunet
coragem,courage,coraje,courage,coraggio,coraxe,curaj
diligentemente,diligently,diligentemente,avec diligence,diligentemente,con dilixencia,cu sarguinta
ludibriar,deceive,enganar,tromper,ingannare,enganar,insela
prognostico,prognosis,pronostico,pronostic,prognosi,prognostico,prognoza
precipuamente,precipitously,precipitadamente,precipitamment,precipitosamente,precipitadamente,precipitat
pressuposto,assumption,suposicion,hypothese,assunzione,suposicion,presupunere
mitigar,mitigate,mitigar,attenuer,mitigare,mitigar,atenua
generalizar,generalize,generalizar,generaliser,generalizzare,xeneralizar,generaliza
mediocre,mediocre,mediocre,mediocre,mediocre,mediocres,mediocru
elegibilidade,eligibility,elegibilidad,admissibilite,eleggibilita,elegibilidade,eligibilitate
formal,formal,formal,officiel,formale,formais,formal
alta,high,alto,haut,alto,alto,inalt
escroto,scrotum,escroto,scrotum,scroto,escroto,scrot
intrinseca,intrinsic,intrinseco,intrinseque,intrinseco,intrinseca,intrinsec
vil,vile,vil,vil,vile,vil,ticalos
convem,suits,trajes,costumes,abiti,traxes,costume
sarcastico,sarcastic,sarcastico,sarcastique,sarcastico,sarcastico,sarcastic
excecao,exception,excepcion,exception,eccezione,excepcion,exceptie
independencia,independence,independencia,independance,indipendenza,independencia,independenta
transgressao,transgression,transgresion,transgression,trasgressione,transgresion,transgresiune
voce,you,tu,toi,voi,ti,tu
eco,echo,eco,echo,eco,eco,ecou
dicionario,dictionary,diccionario,dictionnaire,dizionario,dicionario,dictionar
relativo,relative,relativo,relatif,parente,achegada,relativ
invasivo,invasive,invasor,envahissant,invasivo,invasivo,invaziv
condolencias,condolences,condolencias,condoleances,condoglianze,condolencias,condoleante
enfase,emphasis,enfasis,accent,enfasi,enfase,accent
insubstituivel,irreplaceable,insustituible,irremplacable,insostituibile,insubstituible,de neinlocuit
imanente,immanent,inmanente,immanent,immanente,inmanente,imanent
meu,my,mi,mon,mio,meu,ale mele
ansia,eagerness,afan,ardeur,entusiasmo,afan,nerabdare
inenarravel,unspeakable,indecible,indicible,indicibile,indicible,de nespus
futil,futile,futil,futile,inutile,inutil,zadarnic
poder,power,fuerza,pouvoir,energia,poder,putere
ater,land,tierra,atterrir,terra,terra,teren
arbitrariedade,arbitrariness,arbitrariedad,arbitraire,arbitrarieta,arbitrariedade,arbitrariul
objeto,object,objeto,objet,oggetto,obxecto,obiect
medo,fear,miedo,peur,paura,medo,frica
satisfacao,satisfaction,satisfaccion,satisfaction,soddisfazione,satisfaccion,satisfactie
tempo,time,tiempo,temps,tempo,tempo,timp
procrastinador,procrastinator,indeciso,procrastinateur,procrastinatore,procrastinador,procrastinator
mae,mother,madre,mere,madre,nai,mama
deboche,debauchery,libertinaje,debauche,dissolutezza,libertinaxe,depravare
benevolente,benevolent,benevolente,bienveillant,benevolo,benevolente,binevoitor
eximir,exempt,eximir,exempter,esonerare,exentos,scuti
latifundiario,landowner,terrateniente,proprietaires,proprietario terriero,terratenente,proprietar de teren
alcunha,nickname,apodo,surnom,soprannome,alcume,porecla
reminiscencia,reminiscence,reminiscencia,reminiscence,reminiscenza,reminiscencia,reminiscenta
soar,sound,sonido,son,suono,son,sunet
respeito,respect,respeto,respect,rispetto,respecto,respect
caracteristica,feature,caracteristica,fonctionnalite,caratteristica,caracteristica,caracteristica
foco,focus,enfocar,se concentrer,messa a fuoco,foco,se concentreze
estratificacao,stratification,estratificacion,stratification,stratificazione,estratificacion,stratificare
relevante,relevant,importante,pertinent,pertinente,relevantes,relevante
processo,process,proceso,processus,processi,proceso,proces
frequentemente,often,a menudo,souvent,spesso,moitas veces,de multe ori
mal,bad,malo,mauvais,cattivo,malo,rau
legitimidade,legitimacy,legitimidad,legitimite,legittimita,lexitimidade,legitimitate
contencioso,litigation,litigio,litige,contenzioso,litixio,litigii
eficaz,effective,eficaz,efficace,efficace,eficaz,efectiv
cliche,cliche,cliche,cliche,cliche,cliche,cliseu
aquisicao,acquisition,adquisicion,acquisition,acquisizione,adquisicion,achizitie
indiferente,indifferent,indiferente,indifferent,indifferente,indiferente,indiferent
pesar,to weight,pesar,peser,pesare,a peso,a cantari
facultativo,optional,opcional,facultatif,opzionale,opcional,optional
condicionado,conditioning,acondicionamiento,conditionnement,condizionata,condicionamento,conditionare
pronta-entrega,ready-delivery,entrega rapida,pret a etre livre,pronta consegna,listo para entrega,gata de livrare
substancial,substantial,sustancial,substantiel,sostanziale,substancial,substantiala
rapariga,girl,chica,fille,ragazza,rapaza,fata
proselitismo,proselytism,proselitismo,proselytisme,proselitismo,proselitismo,prozelitism
percepcao,perception,percepcion,perception,percezione,percepcion,perceptie
depreender,deduce,deducir,deduire,dedurre,deducir,deduce
democratizacao,democratization,democratizacion,democratisation,democratizzazione,democratizacion,democratizare
cordial,friendly,amigable,amical,amichevole,amigable,prietenos
passivel,passable,pasable,passable,accettabile,transitable,acceptabil
desenvoltura,resourcefulness,inventiva,ingeniosite,intraprendenza,ingenio,inventivitate
moral,moral,moral,morale,morale,moral,morala
convalescenca,convalescence,convalecencia,convalescence,convalescenza,convalecencia,convalescenta
mutua,mutual,mutual,mutuel,reciproco,mutuo,reciproc
fez,he did,el hizo,il a fait,egli fece,fixo,el a facut
ente,being,ser,etre,essendo,sendo,fiind
obstante,nevertheless,sin embargo,neanmoins,tuttavia,con todo,cu toate acestea
compreensao,understanding,comprension,comprehension,comprensione,comprension,intelegere
impavido,fearless,valiente,intrepide,impavido,sen medo,neinfricat
veio,he came,el vino,il est venu,lui venne,el veu,el a venit
impressionante,impressive,impresionante,impressionnant,degno di nota,impresionante,impresionant
verbete,entry,entrada,entree,iscrizione,entrada,intrare
ignorante,ignorant,ignorante,ignorant,ignorante,ignorante,ignorant
equidade,equity,equidad,equite,equita,equidade,capitaluri proprii
oportunista,opportunist,oportunista,opportuniste,opportunista,oportunista,oportunist
genocida,genocidal,genocida,genocidaire,genocida,xenocida,genocid
autentico,authentic,autentico,authentique,autentico,autentico,autentic
julgar,to judge,juzgar,juger,giudicare,para xulgar,a judeca
mazela,ailment,enfermedad,maladie,malattia,doenza,boala
paz,peace,paz,paix,pace,paz,pace
dispor,dispose,disponer,disposer,smaltire,dispor,dispune
imparcialidade,impartiality,imparcialidad,impartialite,imparzialita,imparcialidade,impartialitate
modesto,modest,modesto,modeste,modesto,modesto,modest
itinerario,itinerary,itinerario,itineraire,itinerario,itinerario,itinerar
anacronico,anachronistic,anacronico,anachronique,anacronistico,anacronico,anacronic
noia,noia,noya,noia,noia,noia,noia
orgulho,pride,orgullo,fierte,orgoglio,orgullo,mandrie
tolo,fool,tonto,idiot,scemo,parvo,prost
deliberar,deliberate,adrede,volontaire,deliberato,deliberado,delibera
prodigio,prodigy,prodigio,prodige,prodigio,prodixio,minune
uso,use,usar,utiliser,utilizzo,usar,utilizare
extraordinaria,extraordinary,extraordinario,extraordinaire,straordinario,extraordinario,extraordinar
base,base,base,base,base,base,baza
exequivel,feasible,factible,realisable,fattibile,factible,fezabil
fragmentacao,fragmentation,fragmentacion,fragmentation,frammentazione,fragmentacion,fragmentare
casal,couple,pareja,couple,coppia,parella,cuplu
afa,hustle,ajetreo,agitation,attivita febbrile,axitacion,agitatie
